model,train_fcn,delay,layers,mse,train_mse,test_mse
nar,trainlm,35,5,231262.37555750855,209084.79209221192,380201.72163984494
nar,trainlm,40,1,66334.04151693813,48043.427383720824,146827.47367409238
nar,trainlm,40,10,66557.64601563565,2434.919325781222,392287.2633423613
nar,trainlm,40,15,89667.2431081217,75041.02875433942,176443.14747960726
nar,trainlm,40,20,254348.98540832114,215011.0371208831,417955.20499506843
nar,trainlm,40,25,232075.4111040145,198270.22759959922,364037.0735709558
nar,trainlm,40,30,56140.745151923045,22.805374543195054,316668.76167832647
nar,trainlm,40,35,67459.52052036152,5.560812487852726,330206.4321378489
nar,trainlm,40,40,103458.75458148119,3363.796340229467,509249.4854410215
nar,trainlm,40,5,58030.987898960906,31640.16031933174,152007.03211279743
nar,trainlm,5,1,452302.29378897924,470159.1142229185,480512.1927235847
nar,trainlm,5,10,331414.25326363556,282643.5780321981,554603.8454566046
nar,trainlm,5,15,296662.3534377052,255169.42731642647,563165.6737942658
nar,trainlm,5,20,144806.78199264625,102707.49755602553,352479.6935234813
nar,trainlm,5,25,186792.77361310288,163589.1525576951,329298.56807728624
nar,trainlm,5,30,153962.58751698778,68727.88456099277,638718.30181228
nar,trainlm,5,35,161937.04579145802,83125.79324234316,521206.8608162482
nar,trainlm,5,40,269646.5460107076,205115.7783337652,340925.4339229621
nar,trainlm,5,5,559660.9663952211,526032.2643256384,689128.0681980706
nar,trainscg,10,1,355093.1354024808,331784.3573500292,442519.84664258396
nar,trainscg,10,10,239783.35501134448,239442.1868181073,257014.7310877701
nar,trainscg,10,15,366129.278529266,351607.8690637288,490039.26911790256
nar,trainscg,10,20,176312.80809136247,140504.3174039409,347824.96753963287
nar,trainscg,10,25,424282.5741737542,397555.1187324743,532404.411341167
nar,trainscg,10,30,492141.5916946207,504091.6746183253,559623.2086587535
nar,trainscg,10,35,171263.79537868,156154.6978704615,249515.24503899852
nar,trainscg,10,40,344784.0771556326,271177.0224934486,726908.0542913817
nar,trainscg,10,5,487490.3889052042,469716.3890831246,656331.000112331
nar,trainscg,15,1,149112.35689797884,149627.5685857371,180319.09131266054
nar,trainscg,15,10,436509.9822876934,470053.9970364622,299143.77973588003
nar,trainscg,15,15,98733.57507049931,90658.45159584342,155366.29660794948
nar,trainscg,15,20,232977.91438374232,254866.63380544807,156526.9671155285
nar,trainscg,15,25,163180.37315004366,148521.61608138468,275853.8856669433
nar,trainscg,15,30,182772.55409501007,182951.0087081148,200677.35680176725
nar,trainscg,15,35,139208.92101525614,113390.31841188108,309101.3839958376
nar,trainscg,15,40,342498.5654457643,293205.50576512626,579776.2768662615
nar,trainscg,15,5,210810.26235328265,224513.75109522176,193243.37050351145
nar,trainscg,1,1,466355.83109507523,481138.1088603229,370487.45754010545
nar,trainscg,1,10,612382.1094061714,590416.3350923503,615066.8847148602
nar,trainscg,1,15,430354.73921255575,421587.90751775546,561253.351147514
nar,trainscg,1,20,865313.5872977624,882691.7171840515,952910.1392903692
nar,trainscg,1,25,619772.0794861838,642774.5281066301,503110.10237896
nar,trainscg,1,30,500251.83418253186,409776.55555915897,1036318.1767938586
nar,trainscg,1,35,1062538.3360712829,1032536.1345544036,1157828.5711527765
nar,trainscg,1,40,553505.9690969355,542691.9147012953,674032.165151232
nar,trainscg,1,5,623095.8829874485,636452.1326711832,667839.6893269122
nar,trainscg,20,1,125084.21892147134,113970.84402085171,211280.7921714261
nar,trainscg,20,10,105115.1154263212,111061.90795657784,93387.06423082351
nar,trainscg,20,15,98924.44237258304,77491.68920531936,225116.50777857754
nar,trainscg,20,20,184027.8558572881,171112.81800965106,262038.79517169786
nar,trainscg,20,25,139951.22733660322,121165.42792370678,236371.9196574795
